inscricao;deferimento;renda_mensal
96362;1;671.0
96367;1;783.2633333333333
96368;1;566.6666666666666
96369;1;83.33333333333333
96370;0;600.0
96371;1;1048.5
96374;1;595.336
96375;1;1400.0
96376;1;715.5
96378;1;483.0
96380;1;500.0
96383;1;507.366
96385;1;420.0
96388;0;750.0075000000002
96390;1;318.0
96392;0;519.385
96395;1;426.40333333333336
96396;1;0.0
96397;1;802.5
96398;1;721.4866666666667
96399;1;238.5
96402;1;500.0
96405;1;191.4
96407;1;315.0
96408;1;600.0
96409;1;477.74
96410;0;1322.8880000000001
96411;1;600.0
96412;1;318.0
96413;1;942.0
96417;1;533.3333333333334
96418;1;233.33333333333334
96419;1;200.0
96420;1;266.6666666666667
96421;0;300.0
96424;1;715.5
96425;0;453.5
96427;1;252.2825
96428;1;1030.1999999999998
96429;1;612.0
96430;0;468.5
96431;1;730.0
96432;1;821.97
96433;1;600.0
96436;1;600.005
96438;0;1250.0
96440;0;493.3333333333333
96441;1;750.005
96442;1;458.5
96443;1;600.0
96444;1;925.0
96445;1;522.6666666666666
96446;1;1247.3999999999999
96448;1;615.4
96449;1;700.744
96451;1;925.0
96454;0;366.808
96456;0;287.6
96458;1;1131.315
96459;1;669.02
96460;1;1351.8
96461;1;350.0
96462;1;658.725
96467;0;477.0
96471;1;1150.0
96472;1;695.0
96473;1;450.0
96474;0;400.0
96479;1;1100.0
96481;1;954.0
96482;1;512.4233333333333
96483;0;1000.0
96485;1;398.33599999999996
96486;1;900.0033333333334
96488;1;624.0
96492;1;584.6666666666666
96493;0;0.0
96501;1;1265.0
96504;0;700.0
96506;1;308.75
96508;1;387.0
96511;1;242.5
96513;1;373.3333333333333
96514;1;1117.8
96515;1;1211.5
96516;1;1000.0
96520;1;435.96000000000004
96521;0;1235.0
96522;0;998.0
96523;1;869.0
96527;1;600.0
96529;1;1312.935
96530;1;200.0
96532;1;450.0
96533;1;318.0
96534;0;300.0
96535;0;526.1666666666666
96536;1;318.0
96537;1;954.0
96538;1;650.0
96540;1;1202.41
96541;1;619.0
96543;1;342.3333333333333
96544;1;1000.0
96545;0;750.0
96547;1;530.0
96548;1;1065.0
96550;1;1216.54
96551;1;1101.5
96552;1;925.2166666666667
96556;0;1000.0
96558;1;561.805
96559;1;896.0
96560;1;0.0
96561;0;314.0
96563;1;468.5
96564;0;486.8916666666667
96567;1;237.5
96570;1;675.065
96571;1;1214.7166666666667
96576;1;1040.0040000000001
96577;0;320.0
96579;1;677.0
96580;1;863.5
96581;1;280.0
96584;0;0.0
96585;1;544.25
96586;1;789.025
96591;0;318.0
96592;1;388.505
96593;1;407.5
96595;1;646.8433333333334
96597;0;0.0
96598;1;286.2
96600;1;623.83
96601;1;1402.57
96602;0;750.0
96604;0;370.0
96605;1;926.0
96610;1;487.5
96612;0;483.3333333333333
96615;1;400.0
96617;1;255.0
96622;1;603.275
96624;1;661.5
96625;1;636.0
96627;1;411.226
96628;0;225.33333333333334
96631;1;903.75
96632;1;967.2425000000001
96633;1;200.0
96634;1;1135.4833333333333
96635;1;718.215
96637;1;190.0
96639;1;667.3333333333334
96641;0;1815.0766666666666
96642;1;790.7325000000001
96643;1;318.0
96644;1;233.33333333333334
96651;1;0.0
96653;0;663.7825
96654;1;500.0
96658;1;800.005
96659;1;800.0
96663;1;1072.625
96666;0;2578.682
96669;1;403.57
96673;1;569.1383333333333
96674;1;617.0
96675;0;550.0
96677;1;544.9933333333333
96678;1;400.0
96679;1;711.99
96682;1;130.0
96683;1;942.955
96685;1;1127.365
96686;1;350.0
96688;1;519.35
96689;1;807.155
96691;1;238.5
96694;1;465.0
96696;0;900.0
96697;0;823.5
96698;1;387.8333333333333
96700;0;2000.0
96701;1;592.5
96702;1;770.758
96703;0;2000.0
96706;0;500.0
96708;0;442.33
96716;1;313.3333333333333
96718;0;1361.315
96719;1;894.0066666666667
96724;1;526.75
96725;0;1385.95
96726;0;200.0
96727;1;663.1775
96728;1;362.5
96731;1;477.0
96732;1;680.7025
96738;1;680.0
96744;1;600.0
96745;1;425.0
96747;1;300.0
96749;1;818.1100000000001
96755;1;896.13
96756;1;575.0
96758;1;451.7966666666667
96761;1;200.0075
96764;1;1173.0
96767;0;1824.8775
96768;1;636.0
96770;1;550.0
96773;1;732.5
96774;1;500.0
96775;1;733.3333333333334
96776;1;312.3333333333333
96780;1;989.6525
96781;1;354.6033333333333
96784;1;250.0
96787;1;735.0
96788;0;463.82666666666665
96790;0;1457.4725
96791;1;137.66666666666666
96793;1;450.1675
96794;1;667.3333333333334
96795;0;357.14285714285717
96796;0;500.0
96798;1;750.0
96799;0;0.0
96801;1;984.5966666666667
96802;1;477.0
96804;0;0.0
96806;1;500.005
96807;1;588.53
96808;1;750.0
96809;1;603.285
96810;1;390.3333333333333
96811;1;477.0
96813;1;500.005
96815;1;1080.5833333333333
96817;1;893.7533333333334
96818;1;400.0
96819;0;475.2
96821;1;381.6
96825;1;855.57
96826;1;318.0
96827;1;245.0
96828;1;0.0
96830;1;0.0
96831;1;866.6666666666666
96833;1;875.0
96834;1;1165.1499999999999
96835;0;1333.3333333333333
96836;1;853.6
96838;1;782.7025
96840;0;504.512
96842;1;420.0
96843;1;333.34
96844;1;738.9333333333334
96845;1;434.0
96848;1;804.64
96851;1;800.0
96854;1;667.9133333333333
96855;1;1152.81
96856;1;348.3666666666666
96858;1;577.7975
96859;0;840.0
96860;0;1200.0
96863;1;943.2366666666667
96864;1;1336.01
96866;0;1050.0
96867;1;700.0
96868;1;903.9166666666666
96869;1;937.0
96871;0;300.0
96872;1;450.0
96874;1;464.935
96877;0;1188.9333333333334
96878;0;712.8
96879;1;743.3333333333334
96882;1;200.0
96883;1;925.4100000000001
96885;1;675.0
96886;1;314.486
96887;1;954.0
96888;1;753.394
96889;0;137.5
96890;0;500.0
96892;1;633.3333333333334
96894;1;355.0
96895;1;1251.484
96896;1;162.5
96900;1;951.59
96904;1;692.5
96906;1;687.905
96909;1;1077.67
96910;1;1007.4533333333334
96911;1;150.0
96912;1;569.3333333333334
96914;1;723.6575
96915;1;625.0075
96916;1;916.9466666666667
96917;1;318.0
96919;1;718.005
96920;1;551.7125
96921;1;994.6666666666666
96922;1;720.7625
96923;1;892.7025000000001
96925;0;0.0
96926;0;1919.7525
96927;1;628.615
96929;1;789.1675
96936;1;779.442
96937;1;1345.72
96938;1;800.0
96940;1;250.0
96941;0;750.0
96943;1;0.0
96945;1;788.075
96946;0;1100.0
96947;1;900.0
96949;1;778.0966666666667
96951;1;159.0
96952;1;952.5
96953;1;609.375
96954;0;979.8
96956;1;688.745
96957;0;340.0
96959;1;238.5
96961;1;500.0
96962;1;300.0
96963;1;872.2066666666666
96964;1;583.0
96966;0;714.2633333333333
96969;1;175.0
96970;1;429.6666666666667
96972;1;871.1366666666667
96973;1;650.0
96974;1;436.2
96975;1;300.0
96976;1;500.0
96978;1;200.0
96979;1;333.3333333333333
96980;1;874.255
96982;1;543.455
96983;1;986.5
96985;1;471.7
96987;1;961.0566666666667
96988;1;250.0075
96991;0;600.0
96992;1;287.0
96993;1;470.0
96994;0;764.85
96999;1;1053.3333333333333
97001;1;886.3425
97002;1;704.0
97003;1;516.5
97006;1;773.24
97007;0;985.0
97009;1;400.0
97010;1;796.4
97011;1;488.5
97012;1;478.16999999999996
97013;1;477.0
97014;0;1269.955
97015;1;445.0
97016;1;437.365
97017;1;584.6666666666666
97019;1;634.2250000000001
97022;1;366.67333333333335
97024;0;600.0
97026;1;1116.6666666666667
97028;1;385.6675
97029;1;468.5
97030;1;941.315
97033;1;555.84
97035;1;150.0
